S.No,Course ID,Discipline,Course Name,SME Name,Institute,Duration,Start date,End date,Exam date,Industry support,Link,Prerequiste,About
120,noc24-cs01,Computer Science and Engineering,Foundations of Cryptography,Prof. Ashish Choudhury,IIIT Bangalore,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",The course will be relevant for any IT related company,https://onlinecourses.nptel.ac.in/noc20_cs02/preview,"There are no pre-requisites for this course. However it is expected that the students who are interested to take this course have had some exposure to a basic course on discrete mathematics, algorithms, or theory of computation. Having said that, I ensure that a significant effort will be made from my side to simplify the overall presentation of the course and make it easily accessible","ABOUT THE COURSE : The course provides the basic paradigm and principles of modern cryptography. The focus of this course will be on definitions and constructions of various cryptographic objects. We will try to understand what security properties are desirable in such objects, how to formally define these properties, and how to design objects that satisfy the definitions.  The aim is that at the end of this course, the students are able to understand a significant portion of current cryptography research papers and standards."
121,noc24-cs02,Computer Science and Engineering,Introduction to programming in C,Prof.Satyadev Nandakumar,IITK,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 23, 2024",Content not found,https://onlinecourses.nptel.ac.in/noc22_cs40/preview,Nil,"ABOUT THE COURSE : This is a course in programming in C. No prior programming experience is assumed; however, mathematical maturity at the level of a second year science or engineering undergraduate is assumed. We emphasize solving problems using the language, and introduce standard programming techniques like alternation, iteration and recursion. We will briefly glimpse the basics of software engineering practices like modularization, commenting, and naming conventions which help in collaborating and programming in teams. Given a problem, we pay attention to the following questions: What is an algorithmic solution to the problem? How do we translate the algorithm into C code? How efficient is the code? How maintainable is the code? It is expected that by the end of the course, students will be comfortable in :- Attempting algorithmic solutions to problems Designing and coding moderate sized programs running to the order of a few hundred lines of code, and Reading, understanding and modifying code written by others."
122,noc24-cs03,Computer Science and Engineering,Linear programming and its applications to computer science,Prof. Rajat Mittal,IITK,8 Weeks,"Feb 19, 2024","Apr 12, 2024","Apr 21, 2024",Content not found,https://onlinecourses.nptel.ac.in/noc24_cs03/preview,Linear algebra,"Linear programming is a special class of mathematical optimization problems where the constraints as well as the cost function is linear. This class of problems have known efficient algorithms, deep structural properties and wide applications in various fields."
123,noc24-cs04,Computer Science and Engineering,Privacy and Security in Online Social Media,Prof. Ponnurangam Kumaraguru,IIITH,12 weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024",Any company which is interested in social media / networks data will beÂ  interested in recruiting the students finishing the course.,https://onlinecourses.nptel.ac.in/noc23_cs13/preview," Basic / Intermediate programming course. Understanding of Python will be necessary for the course. Should be able to quickly learn APIs, and to collect data from social networks.","ABOUT THE COURSE : With increase in the usage of the Internet, there has been an exponential increase in the use of online social media and networks on the Internet. Websites like Facebook, YouTube, LinkedIn, Twitter, Flickr, Instagram, Google+, FourSquare, Pinterest, Tinder, and the likes have changed the way the Internet is being used. However, widely used, there is a lack of understanding of privacy and security issues on online social media. Privacy and security of online social media need to be investigated, studied and characterized from various perspectives (computational, cultural, psychological, etc.). Student completing the course will be able to appreciate various privacy and security concerns (spam, phishing, fraud nodes, identity theft) on Online Social Media and Student will be able to clearly articulate one or two concerns comprehensively on one Online Social Media, this will be achieved by homework."
124,noc24-cs05,Computer Science and Engineering,Basics of Computational Complexity,Prof. Nitin Saxena,IITK,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 21, 2024","Discrete Optimization, Cryptography/ Cyber Security, Coding theory, Computer Algebra, Symbolic Computing Software, , Learning Software.",https://onlinecourses.nptel.ac.in/noc24_cs05/preview,Nil,"We will start this course by mathematically formalizing computation and algorithms. Our approach in the course would be to look at famous concrete problems and prove theorems about their uncomputability, or, if computable, then how fast can they be computationally solved. The problems we will cover in this course are: the halting problem, boolean formula satisfiability (the P!=NP question), quantified boolean formula, formula minimization, polynomial identity testing, undirected graph reachability, permanent and graph isomorphism. While studying these computational problems we will define various complexity classes and develop various tools used in modern complexity theory."
125,noc24-cs06,Computer Science and Engineering,Advanced Computer Architecture,Prof. Smruti Ranjan Sarangi,IITD,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 28, 2024","Intel, AMD, IBM, Qualcomm, Texas Instruments",https://onlinecourses.nptel.ac.in/noc24_cs06/preview,Computer Architecture (2 nd year level),"This course is on Advanced Computer Architecture. It will introduce students to advanced aspects of processor design and will specifically focus on out-of-order pipelines, GPUs, and compiler techniques for enhancing ILP. The course will subsequently move on to cache design and main memory technologies such as DDR-4. A substantial portion of the course will be devoted to the theory of on-chip networks and memory models. The last part of the course will cover aspects of low-power design, hardware security, and reliability."
126,noc24-cs07,Computer Science and Engineering,Secure Computation: Part I,Prof. Ashish Choudhury,IIIT Bangalore,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",Content not found,https://onlinecourses.nptel.ac.in/noc21_cs91/preview,The participant should have done a basic course on Cryptography (such as the Foundations of Cryptography course available on NPTEL) and a basic course on Discrete Mathematics,"ABOUT THE COURSE : This course will discuss about how using various cryptographic primitives, one can do computation on distributed and sensitive data, also known as secure multi-party computation (MPC) , which  is one of the most fundamental problems in cryptography as well as distributed computing. The need for distributed computation on private data arises in several real-world applications that require computations involving sensitive data from two or more mutually distrusting entities. Consider the following example, which is one of the latest applications of secure computation:  The Earth is orbited by thousands of man-made satellites and several thousands of orbital debris. The growing number of satellites and space debris orbiting the planet increases the danger of collisions. And this is not a hypothetical scenario, as several such high-profile collisions have been reported in the recent past. Given the expensive cost of satellites, the host countries would like to avoid collision. A collision can only be predicted if the detailed orbit information of the individual satellites is known.  However, such information can be highly sensitive and in fact, it can even be a national secret.  So, what is needed here is a way to determine whether two satellites are about to clash with each other based on the detailed locations of the satellites, but without the need of disclosing the locations of the satellites to other host countries. Secure MPC models the above and several such applications that make simultaneous demands for the privacy and usability of sensitive data. Other examples include secure e-voting, secure e-auction, secure signal-processing, secure bioinformatics, secure biometrics, secure machine-learning, secure outsourcing, privacy-preserving data mining, to name a few."
127,noc24-cs08,Computer Science and Engineering,An Introduction to Artificial Intelligence,Prof. Mausam,IITD,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024",Most software companies,https://onlinecourses.nptel.ac.in/noc24_cs08/preview,"Data Structures, Probability","ABOUT THE COURSE : The course introduces the variety of concepts in the field of artificial intelligence. It discusses the philosophy of AI, and how to model a new problem as an AI problem. It describes a variety of models such as search, logic, Bayes nets, and MDPs, which can be used to model a new problem. It also teaches many first algorithms to solve each formulation. The course prepares a student to take a variety of focused, advanced courses in various subfields of AI."
128,noc24-cs09,Computer Science and Engineering,Cloud Computing and Distributed Systems,Prof. Rajiv Misra,IITK,8 Weeks,"Jan 22, 2024","Mar 15, 2024","Mar 23, 2024","Companies like Amazon, Microsoft, Google, IBM, Facebook and start-ups working on this field.",https://onlinecourses.nptel.ac.in/noc23_cs27/preview,Data Structures and Algorithms,"Cloud computing is the on-demand delivery of computations, storage, applications, and other IT resources through a cloud services platform over the internet with pay-as-you-go business model. Today's Cloud computing systems are built using fundamental principles and models of distributed systems. This course provides an in-depth understanding of distributed computing concepts, distributed algorithms, and the techniques, that underlie today's cloud computing technologies. The cloud computing and distributed systems concepts and models covered in course includes: virtualization, cloud storage: key-value/NoSQL stores, cloud networking,fault-tolerance cloud using PAXOS, peer-to-peer systems, classical distributed algorithms such as leader election, time, ordering in distributed systems, distributed mutual exclusion, distributed algorithms for failures and recovery approaches, emerging areas of big data and many more. And while discussing the concepts and techniques, we will also look at aspects of industry systems such as Apache Spark, Googles Chubby, Apache Zookeeper, HBase, MapReduce, Apache Cassandra, Googles B4, Microsofts Swan and many others. Upon completing this course, students will have intimate knowledge about the internals of cloud computing and how the distributed systems concepts work inside clouds."
129,noc24-cs10,Computer Science and Engineering,Switching Circuits and Logic Design,Prof. Indranil Sengupta,IITKGP,12 Weeks,"Jan 22, 2024","Apr 12, 2024","Apr 20, 2024","TCS, Wipro, CTS, Google, Microsoft, HP, Intel, IBM",https://onlinecourses.nptel.ac.in/noc20_cs67/preview,Basic knowledge of electronics and electrical circuitsl,"This course will discuss the basic background of switching circuits, and discuss techniques for mapping the theory to actual hardware circuits. Synthesis and minimization techniques of combinational and sequential circuits shall be discussed in detail. Designing circuits using high-level functional blocks shall also be discussed. The course will closely follow the undergraduate curriculum existing in most engineering colleges."
