CourseName,Tokens
Foundations of Cryptography,foundat of cryptographyabout the cours the cours provid the basic paradigm and principl of modern cryptography. the focu of thi cours will be on definit and construct of variou cryptograph objects. we will tri to understand what secur properti are desir in such object how to formal defin these properti and how to design object that satisfi the definitions. the aim is that at the end of thi cours the student are abl to understand a signific portion of current cryptographi research paper and standards.ther are no pre-requisit for thi course. howev it is expect that the student who are interest to take thi cours have had some exposur to a basic cours on discret mathemat algorithm or theori of computation. have said that i ensur that a signific effort will be made from my side to simplifi the overal present of the cours and make it easili accessibleth cours will be relev for ani it relat compani
Introduction to programming in C,introduct to program in cabout the cours thi is a cours in program in c. no prior program experi is assumed; howev mathemat matur at the level of a second year scienc or engin undergradu is assumed. we emphas solv problem use the languag and introduc standard program techniqu like altern iter and recursion. we will briefli glimps the basic of softwar engin practic like modular comment and name convent which help in collabor and program in teams. given a problem we pay attent to the follow question what is an algorithm solut to the problem? how do we translat the algorithm into c code? how effici is the code? how maintain is the code? it is expect that by the end of the cours student will be comfort in - attempt algorithm solut to problem design and code moder size program run to the order of a few hundr line of code and read understand and modifi code written by others.nilcont not found
Linear programming and its applications to computer science,linear program and it applic to comput sciencelinear program is a special class of mathemat optim problem where the constraint as well as the cost function is linear. thi class of problem have known effici algorithm deep structur properti and wide applic in variou fields.linear algebracont not found
Privacy and Security in Online Social Media,privaci and secur in onlin social mediaabout the cours with increas in the usag of the internet there ha been an exponenti increas in the use of onlin social media and network on the internet. websit like facebook youtub linkedin twitter flickr instagram google+ foursquar pinterest tinder and the like have chang the way the internet is be used. howev wide use there is a lack of understand of privaci and secur issu on onlin social media. privaci and secur of onlin social media need to be investig studi and character from variou perspect comput cultur psycholog etc.. student complet the cours will be abl to appreci variou privaci and secur concern spam phish fraud node ident theft on onlin social media and student will be abl to clearli articul one or two concern comprehens on one onlin social media thi will be achiev by homework. basic / intermedi program course. understand of python will be necessari for the course. should be abl to quickli learn api and to collect data from social networks.ani compani which is interest in social media / network data will beâ interest in recruit the student finish the course.
Basics of Computational Complexity,basic of comput complexityw will start thi cours by mathemat formal comput and algorithms. our approach in the cours would be to look at famou concret problem and prove theorem about their uncomput or if comput then how fast can they be comput solved. the problem we will cover in thi cours are the halt problem boolean formula satisfi the p!=np question quantifi boolean formula formula minim polynomi ident test undirect graph reachabl perman and graph isomorphism. while studi these comput problem we will defin variou complex class and develop variou tool use in modern complex theory.nildiscret optim cryptography/ cyber secur code theori comput algebra symbol comput softwar learn software.
Advanced Computer Architecture,advanc comput architecturethi cours is on advanc comput architecture. it will introduc student to advanc aspect of processor design and will specif focu on out-of-ord pipelin gpu and compil techniqu for enhanc ilp. the cours will subsequ move on to cach design and main memori technolog such as ddr-4. a substanti portion of the cours will be devot to the theori of on-chip network and memori models. the last part of the cours will cover aspect of low-pow design hardwar secur and reliability.comput architectur 2 nd year levelintel amd ibm qualcomm texa instrument
Secure Computation Part I,secur comput part iabout the cours thi cours will discuss about how use variou cryptograph primit one can do comput on distribut and sensit data also known as secur multi-parti comput mpc which is one of the most fundament problem in cryptographi as well as distribut computing. the need for distribut comput on privat data aris in sever real-world applic that requir comput involv sensit data from two or more mutual distrust entities. consid the follow exampl which is one of the latest applic of secur comput the earth is orbit by thousand of man-mad satellit and sever thousand of orbit debris. the grow number of satellit and space debri orbit the planet increas the danger of collisions. and thi is not a hypothet scenario as sever such high-profile collis have been report in the recent past. given the expens cost of satellit the host countri would like to avoid collision. a collis can onli be predict if the detail orbit inform of the individu satellit is known. howev such inform can be highli sensit and in fact it can even be a nation secret. so what is need here is a way to determin whether two satellit are about to clash with each other base on the detail locat of the satellit but without the need of disclos the locat of the satellit to other host countries. secur mpc model the abov and sever such applic that make simultan demand for the privaci and usabl of sensit data. other exampl includ secur e-vot secur e-auct secur signal-process secur bioinformat secur biometr secur machine-learn secur outsourc privacy-preserv data mine to name a few.th particip should have done a basic cours on cryptographi such as the foundat of cryptographi cours avail on nptel and a basic cours on discret mathematicscont not found
An Introduction to Artificial Intelligence,an introduct to artifici intelligenceabout the cours the cours introduc the varieti of concept in the field of artifici intelligence. it discuss the philosophi of ai and how to model a new problem as an ai problem. it describ a varieti of model such as search logic bay net and mdp which can be use to model a new problem. it also teach mani first algorithm to solv each formulation. the cours prepar a student to take a varieti of focus advanc cours in variou subfield of ai.data structur probabilitymost softwar compani
Cloud Computing and Distributed Systems,cloud comput and distribut systemscloud comput is the on-demand deliveri of comput storag applic and other it resourc through a cloud servic platform over the internet with pay-as-you-go busi model. today' cloud comput system are built use fundament principl and model of distribut systems. thi cours provid an in-depth understand of distribut comput concepts distribut algorithm and the techniqu that underli today' cloud comput technologies. the cloud comput and distribut system concept and model cover in cours includ virtual cloud storag key-value/nosql store cloud network fault-toler cloud use paxo peer-to-p system classic distribut algorithm such as leader elect time order in distribut system distribut mutual exclus distribut algorithm for failur and recoveri approach emerg area of big data and mani more. and while discuss the concept and techniqu we will also look at aspect of industri system such as apach spark google chubbi apach zookeep hbase mapreduc apach cassandra google b4 microsoft swan and mani others. upon complet thi cours student will have intim knowledg about the intern of cloud comput and how the distribut system concept work insid clouds.data structur and algorithmscompani like amazon microsoft googl ibm facebook and start-up work on thi field.
Switching Circuits and Logic Design,switch circuit and logic designthi cours will discuss the basic background of switch circuit and discuss techniqu for map the theori to actual hardwar circuits. synthesi and minim techniqu of combin and sequenti circuit shall be discuss in detail. design circuit use high-level function block shall also be discussed. the cours will close follow the undergradu curriculum exist in most engin colleges.bas knowledg of electron and electr circuitsltc wipro ct googl microsoft hp intel ibm
