CourseName,Tokens
"Foundations,of,Cryptography",foundat cryptographyabout cours cours provid basic paradigm principl modern cryptography. focu thi cours definit construct variou cryptograph objects. tri understand secur properti desir object formal defin properti design object satisfi definitions. aim end thi cours student abl understand signific portion current cryptographi research paper standards.ther pre-requisit thi course. howev expect student interest take thi cours exposur basic cours discret mathemat algorithm theori computation. said ensur signific effort made side simplifi overal present cours make easili accessibleth cours relev ani relat companycomput scienc engin
"Introduction,to,programming,in,C",introduct program cabout cours thi cours program c. prior program experi assumed; howev mathemat matur level second year scienc engin undergradu assumed. emphas solv problem use languag introduc standard program techniqu like altern iter recursion. briefli glimps basic softwar engin practic like modular comment name convent help collabor program teams. given problem pay attent follow question algorithm solut problem? translat algorithm c code? effici code? maintain code? expect end cours student comfort - attempt algorithm solut problem design code moder size program run order hundr line code read understand modifi code written others.nilcont foundcomput scienc engin
"Linear,programming,and,its,applications,to,computer,science",linear program applic comput sciencelinear program special class mathemat optim problem constraint well cost function linear. thi class problem known effici algorithm deep structur properti wide applic variou fields.linear algebracont foundcomput scienc engin
"Privacy,and,Security,in,Online,Social,Media",privaci secur onlin social mediaabout cours increas usag internet ha exponenti increas use onlin social media network internet. websit like facebook youtub linkedin twitter flickr instagram google+ foursquar pinterest tinder like chang way internet used. howev wide use lack understand privaci secur issu onlin social media. privaci secur onlin social media need investig studi character variou perspect comput cultur psycholog etc.. student complet cours abl appreci variou privaci secur concern spam phish fraud node ident theft onlin social media student abl clearli articul one two concern comprehens one onlin social media thi achiev homework. basic / intermedi program course. understand python necessari course. abl quickli learn api collect data social networks.ani compani interest social media / network data beâ interest recruit student finish course.comput scienc engin
"Basics,of,Computational,Complexity",basic comput complexityw start thi cours mathemat formal comput algorithms. approach cours would look famou concret problem prove theorem uncomput comput fast comput solved. problem cover thi cours halt problem boolean formula satisfi p!=np question quantifi boolean formula formula minim polynomi ident test undirect graph reachabl perman graph isomorphism. studi comput problem defin variou complex class develop variou tool use modern complex theory.nildiscret optim cryptography/ cyber secur code theori comput algebra symbol comput softwar learn software.comput scienc engin
"Advanced,Computer,Architecture",advanc comput architecturethi cours advanc comput architecture. introduc student advanc aspect processor design specif focu out-of-ord pipelin gpu compil techniqu enhanc ilp. cours subsequ move cach design main memori technolog ddr-4. substanti portion cours devot theori on-chip network memori models. last part cours cover aspect low-pow design hardwar secur reliability.comput architectur 2 nd year levelintel amd ibm qualcomm texa instrumentscomput scienc engin
"Secure,Computation,Part,I",secur comput part iabout cours thi cours discuss use variou cryptograph primit one comput distribut sensit data also known secur multi-parti comput mpc one fundament problem cryptographi well distribut computing. need distribut comput privat data aris sever real-world applic requir comput involv sensit data two mutual distrust entities. consid follow exampl one latest applic secur comput earth orbit thousand man-mad satellit sever thousand orbit debris. grow number satellit space debri orbit planet increas danger collisions. thi hypothet scenario sever high-profile collis report recent past. given expens cost satellit host countri would like avoid collision. collis onli predict detail orbit inform individu satellit known. howev inform highli sensit fact even nation secret. need way determin whether two satellit clash base detail locat satellit without need disclos locat satellit host countries. secur mpc model abov sever applic make simultan demand privaci usabl sensit data. exampl includ secur e-vot secur e-auct secur signal-process secur bioinformat secur biometr secur machine-learn secur outsourc privacy-preserv data mine name few.th particip done basic cours cryptographi foundat cryptographi cours avail nptel basic cours discret mathematicscont foundcomput scienc engin
"An,Introduction,to,Artificial,Intelligence",introduct artifici intelligenceabout cours cours introduc varieti concept field artifici intelligence. discuss philosophi ai model new problem ai problem. describ varieti model search logic bay net mdp use model new problem. also teach mani first algorithm solv formulation. cours prepar student take varieti focus advanc cours variou subfield ai.data structur probabilitymost softwar companiescomput scienc engin
"Cloud,Computing,and,Distributed,Systems",cloud comput distribut systemscloud comput on-demand deliveri comput storag applic resourc cloud servic platform internet pay-as-you-go busi model. today' cloud comput system built use fundament principl model distribut systems. thi cours provid in-depth understand distribut comput concepts distribut algorithm techniqu underli today' cloud comput technologies. cloud comput distribut system concept model cover cours includ virtual cloud storag key-value/nosql store cloud network fault-toler cloud use paxo peer-to-p system classic distribut algorithm leader elect time order distribut system distribut mutual exclus distribut algorithm failur recoveri approach emerg area big data mani more. discuss concept techniqu also look aspect industri system apach spark google chubbi apach zookeep hbase mapreduc apach cassandra google b4 microsoft swan mani others. upon complet thi cours student intim knowledg intern cloud comput distribut system concept work insid clouds.data structur algorithmscompani like amazon microsoft googl ibm facebook start-up work thi field.comput scienc engin
"Switching,Circuits,and,Logic,Design",switch circuit logic designthi cours discuss basic background switch circuit discuss techniqu map theori actual hardwar circuits. synthesi minim techniqu combin sequenti circuit shall discuss detail. design circuit use high-level function block shall also discussed. cours close follow undergradu curriculum exist engin colleges.bas knowledg electron electr circuitsltc wipro ct googl microsoft hp intel ibmcomput scienc engin
